DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
04-Nov-2022,37,38,30,32,10,6,T11,Excalibur 3,3168
02-Nov-2022,18,24,30,33,17,3,T11,Excalibur 3,3167
01-Nov-2022,4,30,32,1,37,6,T11,Excalibur 3,3166
29-Oct-2022,17,27,22,39,32,10,T10,Excalibur 2,3165
28-Oct-2022,19,26,12,16,31,13,T10,Excalibur 2,3164
26-Oct-2022,39,33,38,3,29,7,T10,Excalibur 2,3163
25-Oct-2022,12,35,8,36,24,3,T10,Excalibur 2,3162
22-Oct-2022,39,9,17,20,24,5,T9,Excalibur 2,3161
21-Oct-2022,13,25,34,31,5,10,T9,Excalibur 2,3160
19-Oct-2022,16,38,32,29,9,7,T9,Excalibur 2,3159
18-Oct-2022,1,4,12,22,14,5,T9,Excalibur 2,3158
15-Oct-2022,38,13,5,17,16,5,T8,Excalibur 3,3157
14-Oct-2022,38,32,39,13,6,2,T8,Excalibur 3,3156
12-Oct-2022,1,30,10,4,8,4,T8,Excalibur 3,3155
11-Oct-2022,39,5,23,4,1,12,T8,Excalibur 3,3154
08-Oct-2022,21,25,27,34,32,1,T7,Excalibur 3,3153
07-Oct-2022,25,4,27,14,37,13,T7,Excalibur 3,3152
05-Oct-2022,34,17,29,9,3,7,T7,Excalibur 3,3151
04-Oct-2022,13,34,28,7,38,12,T7,Excalibur 3,3150
01-Oct-2022,14,32,27,30,38,10,T6,Excalibur 2,3149
30-Sep-2022,17,31,26,28,2,10,T6,Excalibur 2,3148
28-Sep-2022,37,39,22,24,13,13,T6,Excalibur 2,3147
27-Sep-2022,19,38,11,32,39,1,T6,Excalibur 2,3146
24-Sep-2022,4,8,30,29,37,7,T5,Excalibur 2,3145
23-Sep-2022,15,5,27,31,24,12,T5,Excalibur 2,3144
21-Sep-2022,19,17,37,18,39,2,T5,Excalibur 2,3143
20-Sep-2022,32,21,31,12,8,14,T5,Excalibur 2,3142
17-Sep-2022,23,14,34,13,11,6,T8,Excalibur 3,3141
16-Sep-2022,19,11,38,36,7,7,T8,Excalibur 3,3140
14-Sep-2022,2,27,11,20,36,12,T8,Excalibur 3,3139
13-Sep-2022,3,10,33,11,18,14,T8,Excalibur 3,3138
10-Sep-2022,36,22,16,28,14,9,T7,Excalibur 3,3137
09-Sep-2022,4,33,15,8,5,2,T7,Excalibur 3,3136
07-Sep-2022,35,25,11,9,27,5,T7,Excalibur 3,3135
06-Sep-2022,14,22,1,37,21,6,T7,Excalibur 3,3134
03-Sep-2022,16,19,4,22,23,9,T6,Excalibur 2,3133
02-Sep-2022,33,11,35,8,20,5,T6,Excalibur 2,3132
31-Aug-2022,15,17,16,22,34,5,T6,Excalibur 2,3131
30-Aug-2022,12,31,33,36,6,6,T6,Excalibur 2,3130
27-Aug-2022,20,5,4,11,32,9,T5,Excalibur 2,3129
26-Aug-2022,20,14,10,6,22,4,T5,Excalibur 2,3128
24-Aug-2022,5,37,15,36,10,10,T5,Excalibur 2,3127
23-Aug-2022,1,19,27,21,11,13,T5,Excalibur 2,3126
20-Aug-2022,4,29,15,35,34,4,T8,Excalibur 3,3125
19-Aug-2022,23,22,4,17,15,9,T8,Excalibur 3,3124
17-Aug-2022,20,7,39,25,14,5,T8,Excalibur 3,3123
16-Aug-2022,22,8,4,15,19,11,T8,Excalibur 3,3122
13-Aug-2022,1,13,25,14,5,10,T7,Excalibur 3,3121
12-Aug-2022,35,30,33,37,31,1,T7,Excalibur 3,3120
10-Aug-2022,30,4,14,23,19,1,T7,Excalibur 3,3119
09-Aug-2022,10,32,17,25,34,1,T7,Excalibur 3,3118
06-Aug-2022,29,21,27,5,33,5,T6,Excalibur 2,3117
05-Aug-2022,7,36,11,27,19,2,T6,Excalibur 2,3116
03-Aug-2022,15,6,1,38,34,1,T6,Excalibur 2,3115
02-Aug-2022,29,2,5,4,35,4,T6,Excalibur 2,3114
30-Jul-2022,35,8,30,38,22,12,T5,Excalibur 2,3113
29-Jul-2022,25,9,13,31,22,2,T5,Excalibur 2,3112
27-Jul-2022,10,33,7,2,28,10,T5,Excalibur 2,3111
26-Jul-2022,4,13,3,16,28,4,T5,Excalibur 2,3110
23-Jul-2022,23,26,20,27,15,13,T4,Excalibur 3,3109
22-Jul-2022,30,1,25,15,7,13,T4,Excalibur 3,3108
20-Jul-2022,30,26,8,7,14,9,T4,Excalibur 3,3107
19-Jul-2022,28,25,36,17,14,4,T4,Excalibur 3,3106
16-Jul-2022,11,5,4,12,27,7,T3,Excalibur 3,3105
15-Jul-2022,27,8,1,34,31,3,T3,Excalibur 3,3104
13-Jul-2022,39,11,12,14,16,11,T3,Excalibur 2,3103
12-Jul-2022,28,34,16,35,2,13,T3,Excalibur 2,3102
09-Jul-2022,32,17,28,27,1,13,T2,Excalibur 2,3101
08-Jul-2022,16,30,21,22,25,10,T2,Excalibur 2,3100
06-Jul-2022,1,3,37,36,18,1,T2,Excalibur 2,3099
05-Jul-2022,27,36,19,7,24,5,T2,Excalibur 2,3098
02-Jul-2022,10,3,37,1,38,11,T1,Excalibur 2,3097
01-Jul-2022,24,18,10,9,35,6,T1,Excalibur 2,3096
29-Jun-2022,31,15,12,28,14,7,T1,Excalibur 2,3095
28-Jun-2022,8,11,16,2,6,7,T1,Excalibur 2,3094
25-Jun-2022,32,19,23,15,35,7,T4,Excalibur 3,3093
24-Jun-2022,8,5,7,27,30,13,T4,Excalibur 3,3092
22-Jun-2022,1,31,23,26,4,14,T4,Excalibur 3,3091
21-Jun-2022,21,9,12,6,17,11,T4,Excalibur 2,3090
18-Jun-2022,35,31,13,21,8,2,T3,Excalibur 3,3089
17-Jun-2022,27,23,25,3,18,5,T3,Excalibur 3,3088
15-Jun-2022,27,25,34,39,5,2,T3,Excalibur 3,3087
14-Jun-2022,7,36,12,18,2,10,T3,Excalibur 3,3086
11-Jun-2022,14,6,8,12,13,1,T2,Excalibur 2,3085
10-Jun-2022,37,25,4,7,21,9,T2,Excalibur 2,3084
08-Jun-2022,9,19,26,39,16,9,T2,Excalibur 2,3083
07-Jun-2022,36,31,9,8,38,1,T2,Excalibur 2,3082
04-Jun-2022,23,1,33,18,9,1,T1,Excalibur 2,3081
03-Jun-2022,22,25,12,17,11,5,T1,Excalibur 2,3080
01-Jun-2022,13,39,30,23,3,9,T1,Excalibur 2,3079
31-May-2022,11,17,7,31,36,5,T1,Excalibur 6,3078
28-May-2022,2,34,21,37,25,1,T4,Excalibur 6,3077
27-May-2022,36,37,33,11,21,10,T4,Excalibur 6,3076
25-May-2022,30,24,22,23,37,2,T4,Excalibur 5,3075
24-May-2022,22,14,15,1,6,4,T4,Excalibur 5,3074
21-May-2022,13,23,31,35,1,7,T3,Excalibur 6,3073
20-May-2022,32,33,36,30,37,13,T3,Excalibur 6,3072
18-May-2022,23,8,22,36,3,2,T3,Excalibur 6,3071
17-May-2022,19,21,26,24,32,1,T3,Excalibur 6,3070
14-May-2022,13,28,1,34,31,8,T2,Excalibur 6,3069
13-May-2022,2,13,6,38,29,8,T2,Excalibur 6,3068
11-May-2022,24,22,18,20,26,13,T2,Excalibur 6,3067
10-May-2022,23,24,31,14,1,1,T2,Excalibur 6,3066